x4,x3,x2,x1
9.00,26.00,949520.00,1.33,
12.70,26.00,839560.00,1.61,
12.70,26.00,847580.00,1.57,
4.30,26.00,1026400.00,1.43,
16.30,26.00,796050.00,1.64,
11.50,26.00,630900.00,1.30,
8.00,26.00,508190.00,1.82,
6.10,26.00,964500.00,1.43,
8.00,26.00,507200.00,1.87,
8.00,26.00,514430.00,1.89,
5.10,24.00,406270.00,1.83,
9.00,24.00,274170.00,1.23,
4.30,26.00,1023100.00,1.43,
8.00,26.00,470100.00,1.83,
6.10,26.00,1009800.00,1.43,
5.10,24.00,404300.00,1.70,
11.50,26.00,599550.00,1.24,
3.70,24.00,411310.00,1.75,
11.50,26.00,620320.00,1.29,
3.70,26.00,446100.00,1.77,
8.00,26.00,517160.00,1.89,
8.00,26.00,525510.00,1.82,
16.30,26.00,782070.00,1.63,
3.70,26.00,452970.00,1.85,
9.00,24.00,267500.00,1.20,
6.90,26.00,530010.00,1.86,
3.70,26.00,438660.00,1.82,
6.90,26.00,573590.00,1.81,
5.10,26.00,386230.00,1.84,
12.70,26.00,889760.00,1.63,
5.50,26.00,330320.00,1.76,
8.00,26.00,507410.00,1.81,
8.00,26.00,481700.00,1.83,
6.10,26.00,973450.00,1.43,
13.40,26.00,688610.00,1.33,
9.00,24.00,264750.00,1.20,
9.00,26.00,916510.00,1.62,
16.30,26.00,783770.00,1.59,
5.50,21.00,315940.00,1.24,
3.70,26.00,452800.00,1.85,
13.40,26.00,673600.00,1.31,
12.70,26.00,846940.00,1.61,
9.00,26.00,928340.00,1.70,
3.70,24.00,410900.00,1.79,
6.10,26.00,1010400.00,1.43,
6.90,26.00,528730.00,1.86,
9.00,24.00,249040.00,1.19,
16.30,26.00,775010.00,1.61,
9.00,26.00,920920.00,1.37,
6.90,26.00,574010.00,1.85,
9.00,26.00,909790.00,1.57,
5.10,26.00,392000.00,1.69,
8.00,26.00,479380.00,1.79,
6.10,26.00,968100.00,1.43,
15.30,26.00,721380.00,1.45,
12.70,26.00,863830.00,1.58,
12.70,26.00,866620.00,1.52,
9.00,21.00,240580.00,1.23,
15.30,26.00,769210.00,1.53,
16.30,26.00,812910.00,1.61,
3.70,24.00,413190.00,1.76,
3.70,26.00,462020.00,1.88,
5.10,26.00,390940.00,1.70,
9.00,26.00,942880.00,1.54,
5.50,26.00,297280.00,1.20,
5.10,26.00,378480.00,1.76,
12.70,26.00,873600.00,1.73,
5.10,24.00,398680.00,1.72,
9.00,24.00,256480.00,1.22,
5.10,26.00,368350.00,1.77,
11.50,26.00,587700.00,1.26,
16.30,26.00,820420.00,1.54,
11.50,26.00,587280.00,1.23,
8.00,26.00,499400.00,1.82,
11.50,26.00,628880.00,1.25,
12.20,21.00,226490.00,1.22,
9.00,24.00,262370.00,1.26,
8.00,26.00,520140.00,1.93,
12.70,26.00,878670.00,1.43,
15.30,26.00,745110.00,1.46,
15.30,26.00,718990.00,1.40,
16.30,26.00,822980.00,1.61,
13.40,26.00,652320.00,1.29,
15.30,26.00,712440.00,1.36,
4.30,26.00,1046900.00,1.43,
5.50,24.00,342240.00,1.74,
12.70,26.00,884220.00,1.51,
16.30,26.00,810100.00,1.63,
5.50,21.00,316960.00,1.20,
12.70,26.00,870140.00,1.42,
8.00,26.00,500060.00,1.77,
16.30,26.00,799040.00,1.61,
6.90,26.00,554250.00,1.81,
5.50,24.00,330640.00,1.75,
15.30,26.00,747080.00,1.34,
9.00,26.00,902450.00,1.57,
15.30,26.00,722970.00,1.41,
13.40,26.00,702540.00,1.43,
5.10,26.00,370230.00,1.75,
13.40,26.00,724550.00,0.00,
