x2,x3,x4,x5,x1
47.292,66.111,10.8,180,1.072
55.032,56.812,25.2,315,1.073
44.347,78.428,14.4,270,1.149
31.15,74.489,3.6,292.5,1.074
25.537,68.051,39.6,292.5,1.074
15.501,68.997,14.4,257.5,1.075
16.928,59.316,7.2,202.5,1.076
13.899,65.549,10.8,257.5,1.075
15.754,72.897,14.4,0,1.181
12.767,80.493,14.4,0,1.075
7.874,71.945,18,337.5,1.075
-0.959,64.081,14.4,0,1.076
7.499,63.153,7.2,337.5,1.092
6.891,66.489,10.8,0,1.075
24.365,53.612,10.8,0,1.075
24.928,63.75,28.8,180,1.075
24.791,72.069,18,270,1.076
34.783,57.632,14.4,202.5,1.076
29.399,60.667,14.4,270,1.074
36.975,60.124,10.8,67.5,1.077
38.701,68.015,25.2,337.5,1.074
34.942,78.772,14.4,337.5,1.024
44.423,57.076,7.2,180,1.075
46.154,53.056,21.6,180,1.073
38.243,78.595,7.2,257.5,1.073
45.69,55.244,21.6,180,1.125
44.433,45.668,18,337.5,1.075
45.867,50.557,10.8,270,1.074
39.066,70.058,14.4,270,1.071
30.502,67.538,14.4,157.5,1.254
27.479,55.258,18,157.5,1.073
27.371,71.46,25.2,157.5,1.072
40.938,76.834,14.4,247.5,1.072
44.167,70.565,7.2,225,1.071
42.847,76.629,3.6,0,1.07
42.362,75.233,7.2,0,1.022
45.175,68.196,10.8,337.5,1.07
36.081,81.605,3.6,315,1.071
41.723,59.29,32.4,135,1.073
40.911,54.048,18,180,1.072
41.627,53.007,18,157.5,1.072
48.779,42.553,21.6,202.5,1.073
41.627,50.664,18,202.5,1.072
38.559,62.688,7.2,157.5,1.073
36.182,63.532,25.2,202.5,1.072
29.483,70.972,21.6,180,1.073
40.283,51.415,10.8,180,1.072
41.947,51.936,10.8,247.5,1.072
40.853,58.116,3.6,247.5,1.072
44.641,53.84,3.6,0,1.072
36.676,74.935,10.8,337.5,1.072
41.465,68.573,3.6,157.5,1.072
40.976,68.185,21.6,180,1.074
44.915,60.135,25.2,180,1.073
37.884,57.882,21.6,180,1.073
28.147,68.619,21.6,180,1.073
29.015,51.746,14.4,157.5,1.074
38.803,38.01,7.2,180,1.073
35.576,36.362,10.8,180,1.073
43.813,31.068,21.6,157.5,1.071
43.31,59.466,18,157.5,1.067
38.542,91.775,7.2,135,1.066
44.362,73.659,3.6,90,1.067
36.443,80.202,18,0,1.036
42.88,66.572,18.5,22.5,1.068
45.448,57.471,14.4,0,1.068
47.779,60.696,14.4,22.5,1.066
36.988,78.538,14.4,0,1.067
41.059,67.143,14.4,0,1.067
40.465,75.95,14.4,0,1.069
39.741,72.978,14.4,337.5,1.069
39.798,67.153,7.2,337.5,1.069
38.163,62.421,3.6,337.5,1.009
45.302,46.454,10.8,0,1.038
