x22,x23,x08,x17,x18,x16,x14,x15,x10,x25,x26,x11,x19,x20,x21,x09,x27,x28,x29,x30,x31,x12,x07,
2.00,5.00,9.00,18.50,1.00,16.00,8.00,60.00,105.00,16.00,0.25,0.50,0.50,10.00,0.00,0.60,0.60,1.00,0.00,1.10,0.60,1.10,150.00,
2.00,5.00,9.00,18.50,1.00,16.00,8.00,60.00,105.00,16.00,0.25,0.50,0.50,10.00,0.00,0.60,0.60,1.00,0.00,1.10,0.60,1.10,150.00,
56.00,3.00,9.00,18.50,2.00,16.00,8.00,65.00,105.00,16.00,0.50,0.25,0.50,10.00,0.00,0.50,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,9.00,18.50,1.00,16.00,8.00,60.00,105.00,16.00,0.25,0.50,0.50,10.00,0.00,0.60,0.60,1.00,0.00,1.10,0.60,1.10,150.00,
2.00,5.00,9.00,18.50,1.00,16.00,8.00,60.00,105.00,16.00,0.25,0.50,0.50,10.00,0.00,0.60,0.60,1.00,0.00,1.10,0.60,1.10,150.00,
2.00,5.00,7.00,26.00,1.00,16.00,7.00,45.00,75.00,32.00,0.25,0.50,0.50,10.00,0.00,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,9.00,18.50,1.00,16.00,8.00,60.00,105.00,16.00,0.25,0.50,0.50,10.00,0.00,0.60,0.60,1.00,0.00,1.10,0.60,1.10,150.00,
56.00,3.00,9.00,18.50,2.00,16.00,8.00,65.00,105.00,16.00,0.50,0.25,0.50,10.00,0.00,0.50,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
56.00,3.00,9.00,18.50,2.00,16.00,8.00,65.00,105.00,16.00,0.50,0.25,0.50,10.00,0.00,0.50,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,7.00,26.00,1.00,16.00,7.00,45.00,75.00,32.00,0.25,0.50,0.50,10.00,0.00,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
