x1,x2,x3,x4
0,0,0.00000000,0
0,0,0.00000000,0
0,0,0.00000000,0
0,0,0.00000000,0
7,2,0.00010001,6
1,0,0.00010004,0
10,0,0.00010009,0
4,0,0.00010011,0
6,0,0.00010013,0
14,5,0.00010013,20
4,0,0.00010018,0
4,0,0.00010019,0
2,0,0.00010020,0
17,2,0.00010024,6
2,0,0.00010027,0
15,3,0.00010028,10
16,2,0.00010031,6
5,0,0.00010032,0
22,2,0.00010036,6
2,0,0.00010037,0
2,0,0.00010039,0
5,0,0.00010042,0
15,4,0.00010051,14
6,0,0.00010056,0
20,3,0.00010058,10
4,0,0.00010059,0
3,0,0.00010060,0
12,5,0.00010068,20
15,3,0.00010068,10
2,0,0.00010071,0
8,0,0.00010081,0
3,0,0.00010088,0
1,0,0.00010089,0
15,1,0.00010092,1
7,1,0.00010092,1
10,0,0.00010092,0
4,1,0.00010094,1
11,1,0.00010098,1
1,0,0.00010098,0
6,0,0.00010098,0
11,0,0.00010102,0
14,2,0.00010103,6
9,1,0.00010105,1
8,1,0.00010105,1
9,1,0.00010106,1
16,4,0.00010107,14
1,0,0.00010113,0
5,0,0.00010113,0
5,0,0.00010126,0
6,0,0.00010133,0
2,0,0.00010138,0
12,1,0.00010142,1
12,1,0.00010143,1
1,0,0.00010145,0
3,0,0.00010148,0
4,0,0.00010153,0
3,0,0.00010155,0
8,0,0.00010156,0
13,2,0.00010158,6
7,1,0.00010159,1
5,0,0.00010165,0
6,0,0.00010165,0
19,9,0.00010167,37
10,1,0.00010170,1
17,2,0.00010175,6
3,0,0.00010186,0
22,7,0.00010188,28
3,0,0.00010189,0
11,2,0.00010195,6
3,0,0.00010196,0
8,0,0.00010200,0
14,1,0.00010201,1
3,0,0.00010203,0
4,0,0.00010208,0
11,0,0.00010210,0
14,0,0.00010212,0
5,1,0.00010212,1
9,1,0.00010220,1
6,1,0.00010221,1
7,0,0.00010221,0
17,4,0.00010222,14
8,2,0.00010224,6
2,0,0.00010224,0
7,1,0.00010224,1
5,0,0.00010225,0
6,0,0.00010226,0
6,0,0.00010226,0
4,0,0.00010229,0
6,0,0.00010230,0
12,1,0.00010230,1
17,4,0.00010234,14
4,0,0.00010236,0
3,0,0.00010240,0
18,12,0.00010243,50
4,1,0.00010252,1
6,1,0.00010253,1
1,0,0.00010260,0
3,0,0.00010271,0
9,0,0.00010273,0
5,0,0.00010277,0
16,2,0.00010278,6
5,0,0.00010279,0
15,7,0.00010281,28
1,0,0.00010283,0
6,1,0.00010283,1
20,5,0.00010290,20
5,0,0.00010290,0
1,0,0.00010291,0
8,0,0.00010293,0
6,0,0.00010295,0
4,0,0.00010297,0
15,3,0.00010298,10
1,0,0.00010298,0
2,0,0.00010302,0
8,2,0.00010304,6
1,0,0.00010304,0
8,1,0.00010308,1
4,0,0.00010309,0
3,2,0.00010313,6
2,0,0.00010325,0
17,1,0.00010327,1
9,1,0.00010327,1
16,3,0.00010337,10
2,0,0.00010341,0
9,2,0.00010347,6
3,0,0.00010350,0
1,0,0.00010352,0
8,0,0.00010354,0
3,0,0.00010356,0
13,3,0.00010357,10
2,0,0.00010364,0
5,0,0.00010365,0
6,0,0.00010366,0
19,8,0.00010369,32
1,0,0.00010371,0
13,4,0.00010373,14
2,0,0.00010378,0
7,0,0.00010380,0
6,1,0.00010393,1
4,0,0.00010398,0
2,0,0.00010398,0
17,4,0.00010400,14
2,0,0.00010403,0
1,0,0.00010409,0
1,0,0.00010410,0
14,5,0.00010412,20
1,0,0.00010413,0
4,0,0.00010416,0
10,0,0.00010422,0
10,2,0.00010423,6
7,0,0.00010424,0
18,3,0.00010424,10
2,0,0.00010425,0
1,0,0.00010430,0
1,0,0.00010434,0
9,0,0.00010435,0
4,0,0.00010437,0
2,0,0.00010442,0
2,0,0.00010448,0
2,0,0.00010451,0
1,0,0.00010455,0
1,0,0.00010458,0
7,0,0.00010461,0
2,0,0.00010467,0
9,1,0.00010469,1
19,1,0.00010471,1
18,2,0.00010475,6
1,0,0.00010480,0
6,0,0.00010482,0
1,0,0.00010483,0
10,1,0.00010485,1
1,0,0.00010487,0
3,1,0.00010495,1
16,6,0.00010497,24
2,0,0.00010503,0
7,1,0.00010503,1
2,0,0.00010507,0
2,0,0.00010512,0
1,0,0.00010514,0
5,0,0.00010516,0
2,0,0.00010520,0
3,0,0.00010524,0
7,0,0.00010526,0
3,1,0.00010527,1
12,8,0.00010531,32
13,1,0.00010534,1
2,0,0.00010538,0
1,0,0.00010541,0
2,0,0.00010541,0
1,0,0.00010542,0
5,0,0.00010543,0
10,0,0.00010550,0
5,0,0.00010553,0
3,0,0.00010555,0
19,15,0.00010556,64
2,0,0.00010558,0
2,0,0.00010558,0
18,1,0.00010563,1
10,2,0.00010564,6
10,0,0.00010565,0
3,0,0.00010565,0
11,4,0.00010569,14
6,1,0.00010575,1
8,0,0.00010575,0
15,2,0.00010578,6
3,0,0.00010580,0
17,2,0.00010580,6
4,0,0.00010581,0
17,5,0.00010583,20
1,0,0.00010586,0
4,0,0.00010587,0
9,1,0.00010587,1
14,1,0.00010588,1
15,5,0.00010593,20
4,0,0.00010595,0
13,3,0.00010600,10
2,0,0.00010603,0
9,0,0.00010606,0
21,8,0.00010614,32
5,0,0.00010614,0
7,0,0.00010615,0
3,0,0.00010624,0
3,0,0.00010625,0
18,2,0.00010630,6
16,4,0.00010631,14
14,0,0.00010635,0
3,0,0.00010636,0
15,4,0.00010640,14
3,0,0.00010641,0
6,1,0.00010644,1
2,0,0.00010644,0
6,0,0.00010646,0
15,2,0.00010646,6
3,0,0.00010648,0
19,4,0.00010650,14
18,3,0.00010651,10
1,0,0.00010655,0
16,4,0.00010655,14
20,3,0.00010658,10
2,0,0.00010660,0
5,0,0.00010662,0
2,0,0.00010662,0
3,0,0.00010665,0
3,0,0.00010667,0
17,6,0.00010670,24
4,0,0.00010675,0
6,0,0.00010679,0
5,0,0.00010682,0
2,0,0.00010682,0
3,0,0.00010686,0
3,0,0.00010686,0
23,6,0.00010700,24
5,0,0.00010703,0
3,0,0.00010704,0
2,0,0.00010707,0
5,1,0.00010708,1
18,4,0.00010709,14
4,0,0.00010710,0
5,0,0.00010711,0
10,0,0.00010717,0
18,3,0.00010717,10
17,3,0.00010718,10
4,1,0.00010720,1
16,3,0.00010720,10
3,0,0.00010733,0
16,3,0.00010735,10
2,0,0.00010735,0
10,5,0.00010736,20
3,0,0.00010737,0
3,0,0.00010737,0
19,6,0.00010737,24
10,2,0.00010737,6
2,0,0.00010742,0
2,0,0.00010742,0
17,2,0.00010743,6
10,3,0.00010748,10
7,2,0.00010748,6
1,0,0.00010751,0
15,4,0.00010752,14
15,4,0.00010756,14
10,0,0.00010759,0
1,0,0.00010765,0
4,1,0.00010766,1
14,6,0.00010766,24
2,0,0.00010771,0
3,0,0.00010772,0
9,0,0.00010773,0
3,0,0.00010774,0
17,6,0.00010778,24
1,0,0.00010778,0
2,0,0.00010780,0
5,0,0.00010781,0
3,0,0.00010784,0
7,1,0.00010784,1
9,1,0.00010786,1
5,0,0.00010787,0
12,6,0.00010788,24
4,0,0.00010788,0
1,0,0.00010790,0
2,0,0.00010795,0
13,6,0.00010801,24
3,0,0.00010803,0
4,0,0.00010806,0
3,0,0.00010808,0
14,1,0.00010818,1
3,0,0.00010823,0
6,0,0.00010826,0
4,1,0.00010828,1
5,0,0.00010832,0
5,1,0.00010833,1
4,0,0.00010833,0
4,0,0.00010834,0
3,0,0.00010836,0
13,5,0.00010843,20
1,0,0.00010849,0
4,0,0.00010850,0
2,0,0.00010855,0
1,0,0.00010862,0
1,0,0.00010868,0
14,3,0.00010869,10
14,3,0.00010871,10
1,0,0.00010871,0
17,2,0.00010872,6
2,0,0.00010878,0
17,3,0.00010878,10
6,0,0.00010879,0
23,4,0.00010884,14
19,0,0.00010885,0
16,3,0.00010885,10
2,0,0.00010887,0
23,6,0.00010889,24
10,1,0.00010898,1
1,0,0.00010906,0
3,0,0.00010910,0
15,5,0.00010918,20
2,0,0.00010919,0
4,1,0.00010920,1
2,0,0.00010921,0
8,1,0.00010921,1
4,0,0.00010924,0
20,7,0.00010924,28
9,0,0.00010932,0
4,1,0.00010935,1
4,0,0.00010940,0
2,0,0.00010941,0
4,0,0.00010946,0
2,0,0.00010947,0
3,1,0.00010958,1
6,0,0.00010958,0
4,0,0.00010962,0
3,1,0.00010964,1
1,0,0.00010971,0
6,2,0.00010972,6
2,0,0.00010980,0
1,0,0.00010986,0
2,0,0.00010988,0
3,0,0.00010988,0
8,0,0.00010989,0
3,0,0.00010990,0
15,0,0.00010991,0
11,2,0.00010992,6
4,0,0.00010996,0
1,0,0.00010996,0
1,0,0.00011005,0
8,0,0.00011006,0
8,0,0.00011007,0
3,0,0.00011009,0
9,0,0.00011012,0
1,0,0.00011017,0
5,0,0.00011019,0
19,6,0.00011020,24
17,5,0.00011021,20
7,0,0.00011022,0
2,0,0.00011024,0
3,0,0.00011029,0
12,0,0.00011029,0
8,2,0.00011030,6
3,0,0.00011038,0
2,0,0.00011038,0
1,0,0.00011038,0
6,2,0.00011044,6
6,1,0.00011046,1
1,0,0.00011046,0
13,2,0.00011048,6
18,3,0.00011049,10
4,0,0.00011054,0
19,4,0.00011055,14
4,0,0.00011057,0
17,3,0.00011061,10
10,1,0.00011061,1
3,0,0.00011063,0
1,0,0.00011064,0
18,3,0.00011066,10
4,0,0.00011067,0
6,0,0.00011068,0
21,7,0.00011068,28
5,1,0.00011068,1
1,0,0.00011069,0
1,0,0.00011072,0
1,0,0.00011076,0
16,4,0.00011081,14
2,0,0.00011082,0
18,4,0.00011085,14
10,1,0.00011085,1
3,0,0.00011087,0
18,3,0.00011088,10
1,0,0.00011094,0
14,3,0.00011100,10
2,0,0.00011102,0
2,0,0.00011103,0
12,0,0.00011104,0
17,2,0.00011105,6
1,0,0.00011110,0
1,0,0.00011113,0
8,1,0.00011115,1
9,0,0.00011117,0
16,5,0.00011117,20
3,0,0.00011119,0
18,5,0.00011119,20
12,2,0.00011120,6
15,2,0.00011120,6
4,0,0.00011122,0
16,3,0.00011130,10
8,0,0.00011136,0
1,0,0.00011137,0
8,2,0.00011140,6
15,4,0.00011141,14
7,0,0.00011143,0
3,0,0.00011147,0
3,0,0.00011148,0
1,0,0.00011150,0
3,1,0.00011150,1
5,0,0.00011151,0
1,0,0.00011151,0
5,1,0.00011156,1
2,0,0.00011156,0
12,1,0.00011160,1
16,3,0.00011164,10
4,0,0.00011164,0
2,0,0.00011165,0
3,0,0.00011166,0
8,0,0.00011166,0
4,0,0.00011170,0
3,0,0.00011172,0
19,7,0.00011173,28
1,0,0.00011174,0
1,0,0.00011174,0
1,0,0.00011174,0
1,0,0.00011175,0
8,1,0.00011175,1
16,3,0.00011178,10
5,0,0.00011179,0
3,0,0.00011179,0
5,0,0.00011180,0
19,12,0.00011182,50
2,0,0.00011187,0
5,0,0.00011193,0
9,1,0.00011194,1
8,0,0.00011196,0
1,0,0.00011196,0
20,5,0.00011202,20
1,0,0.00011202,0
1,0,0.00011202,0
5,0,0.00011203,0
6,0,0.00011207,0
2,0,0.00011212,0
6,0,0.00011213,0
1,0,0.00011219,0
9,1,0.00011221,1
10,0,0.00011225,0
7,0,0.00011229,0
12,1,0.00011230,1
10,0,0.00011230,0
1,0,0.00011232,0
9,0,0.00011232,0
2,0,0.00011235,0
21,4,0.00011245,14
1,0,0.00011249,0
6,1,0.00011252,1
16,7,0.00011254,28
10,0,0.00011255,0
19,9,0.00011258,37
6,1,0.00011266,1
17,1,0.00011268,1
10,1,0.00011272,1
1,0,0.00011282,0
14,4,0.00011283,14
2,0,0.00011291,0
6,1,0.00011295,1
2,0,0.00011314,0
4,0,0.00011315,0
4,0,0.00011322,0
8,1,0.00011331,1
4,0,0.00011341,0
4,0,0.00011342,0
7,0,0.00011344,0
12,3,0.00011344,10
11,2,0.00011347,6
12,0,0.00011349,0
13,5,0.00011358,20
7,0,0.00011364,0
1,0,0.00011369,0
9,1,0.00011370,1
9,4,0.00011372,14
15,3,0.00011386,10
12,4,0.00011387,14
3,0,0.00011392,0
9,1,0.00011393,1
2,0,0.00011394,0
3,0,0.00011397,0
1,0,0.00011400,0
2,0,0.00011401,0
4,0,0.00011404,0
1,0,0.00011406,0
17,9,0.00011406,37
3,0,0.00011414,0
11,0,0.00011414,0
2,0,0.00011415,0
1,1,0.00011419,1
2,0,0.00011424,0
1,0,0.00011438,0
5,0,0.00011440,0
2,0,0.00011442,0
12,2,0.00011445,6
5,1,0.00011447,1
3,0,0.00011457,0
3,0,0.00011468,0
13,2,0.00011470,6
3,0,0.00011472,0
8,2,0.00011473,6
1,0,0.00011476,0
5,0,0.00011487,0
2,0,0.00011487,0
3,0,0.00011491,0
4,0,0.00011496,0
5,0,0.00011498,0
2,0,0.00011500,0
3,0,0.00011501,0
2,0,0.00011504,0
19,7,0.00011506,28
2,0,0.00011509,0
5,0,0.00011514,0
15,4,0.00011514,14
3,0,0.00011518,0
7,0,0.00011518,0
3,1,0.00011520,1
10,0,0.00011520,0
16,3,0.00011522,10
9,0,0.00011523,0
1,0,0.00011524,0
1,0,0.00011525,0
17,3,0.00011526,10
1,0,0.00011527,0
13,3,0.00011527,10
8,0,0.00011527,0
23,7,0.00011534,28
16,1,0.00011543,1
18,3,0.00011545,10
3,0,0.00011561,0
4,0,0.00011568,0
1,0,0.00011575,0
1,0,0.00011581,0
1,0,0.00011583,0
2,0,0.00011601,0
2,0,0.00011601,0
10,2,0.00011610,6
4,0,0.00011615,0
5,0,0.00011615,0
7,0,0.00011617,0
15,3,0.00011621,10
4,0,0.00011624,0
3,0,0.00011625,0
17,5,0.00011627,20
1,0,0.00011629,0
7,1,0.00011630,1
16,4,0.00011632,14
2,0,0.00011635,0
14,3,0.00011636,10
2,0,0.00011637,0
2,0,0.00011640,0
3,0,0.00011640,0
1,0,0.00011642,0
2,1,0.00011647,1
13,1,0.00011652,1
1,0,0.00011653,0
20,3,0.00011655,10
14,1,0.00011655,1
22,7,0.00011656,28
2,0,0.00011657,0
10,0,0.00011657,0
1,0,0.00011664,0
10,0,0.00011665,0
19,3,0.00011665,10
20,3,0.00011665,10
1,0,0.00011672,0
1,0,0.00011676,0
3,0,0.00011677,0
18,3,0.00011681,10
16,4,0.00011684,14
5,0,0.00011686,0
4,0,0.00011687,0
10,0,0.00011687,0
1,0,0.00011688,0
5,0,0.00011688,0
7,0,0.00011693,0
10,1,0.00011702,1
2,0,0.00011705,0
2,0,0.00011706,0
3,0,0.00011709,0
3,1,0.00011716,1
15,4,0.00011723,14
17,5,0.00011724,20
10,1,0.00011726,1
2,0,0.00011730,0
3,0,0.00011731,0
1,0,0.00011733,0
3,0,0.00011745,0
7,3,0.00011748,10
2,0,0.00011749,0
11,1,0.00011750,1
10,1,0.00011752,1
6,1,0.00011754,1
5,1,0.00011756,1
8,0,0.00011760,0
3,0,0.00011763,0
2,0,0.00011763,0
22,4,0.00011768,14
2,0,0.00011770,0
13,0,0.00011771,0
3,0,0.00011774,0
3,1,0.00011779,1
2,0,0.00011783,0
1,0,0.00011785,0
3,0,0.00011785,0
1,0,0.00011790,0
15,3,0.00011791,10
17,5,0.00011792,20
1,0,0.00011795,0
12,0,0.00011797,0
18,3,0.00011803,10
3,0,0.00011809,0
1,0,0.00011812,0
6,0,0.00011821,0
9,0,0.00011831,0
1,0,0.00011831,0
16,4,0.00011832,14
7,2,0.00011834,6
12,0,0.00011836,0
5,0,0.00011841,0
1,0,0.00011843,0
3,0,0.00011843,0
7,0,0.00011843,0
5,1,0.00011847,1
2,0,0.00011848,0
3,0,0.00011852,0
2,0,0.00011855,0
18,4,0.00011855,14
18,1,0.00011855,1
4,0,0.00011857,0
5,1,0.00011860,1
2,0,0.00011870,0
11,1,0.00011878,1
4,0,0.00011886,0
24,13,0.00011886,55
9,0,0.00011890,0
